StoreNo,TimeStamp,TotalValueEclGST,NumberOfChicken,NumberApple,NumberOfBanana,NumberOfBeer,HourOfDay,MinuteOfHour
14456,2018/10/12 8:23:17,153,8,13,6,1,21,46
53451,2018/3/22 20:48:41,150,10,12,4,2,0,24
61801,2018/4/13 6:26:33,177,12,10,5,5,19,12
21331,2017/12/26 21:19:57,153,6,12,3,9,16,40
05447,2018/5/5 16:18:30,182,8,17,7,2,22,9
87130,2018/7/30 14:01:43,152,8,15,3,4,20,58
91754,2018/9/10 1:30:25,124,8,8,3,4,16,3
07475,2018/11/19 22:12:05,160,8,11,6,4,23,3
40762,2018/6/17 14:21:39,140,5,10,5,6,12,30
20372,2018/1/15 3:48:41,210,11,19,6,4,15,3
95205,2018/3/18 20:36:54,129,7,10,4,3,15,52
62690,2018/4/9 16:08:16,191,14,9,7,3,19,10
25760,2018/6/5 11:46:30,124,6,9,4,4,13,13
65796,2018/8/5 20:46:19,156,6,13,6,4,14,16
91753,2018/1/16 9:59:44,134,7,12,3,4,11,11
94141,2018/3/28 2:52:15,193,9,14,6,7,5,35
74606,2018/3/18 10:41:58,146,9,12,3,4,4,11
19802,2018/6/30 16:33:31,243,15,14,9,5,6,41
85795,2018/8/27 10:40:37,141,7,11,5,3,7,35
98335,2018/10/10 18:58:50,129,7,14,2,3,7,40
51564,2018/5/15 16:51:33,177,7,18,6,3,10,56
73679,2018/1/30 3:02:53,136,4,11,6,4,14,20
25932,2018/2/23 18:58:06,123,7,13,3,1,5,30
47175,2018/2/26 4:17:51,199,13,10,7,5,5,54
04654,2018/6/19 20:25:23,96,3,13,2,2,5,55
60578,2018/11/19 14:59:16,145,7,9,4,7,11,25
85916,2018/7/13 20:58:50,207,11,11,9,5,20,36
00673,2018/4/11 4:18:56,105,7,8,2,3,1,18
78059,2018/5/25 1:04:37,166,7,12,7,4,1,19
27981,2018/9/27 0:03:54,175,9,15,7,1,1,54
86059,2017/11/26 8:34:55,177,10,14,7,1,9,25
74387,2018/3/31 10:08:22,134,8,11,4,2,22,55
39498,2018/2/14 1:52:29,114,5,10,3,4,20,11
37430,2018/11/13 17:16:12,148,9,17,2,2,6,30
03007,2017/12/27 16:49:25,145,13,9,2,3,22,39
99267,2018/9/2 15:02:59,130,5,16,2,4,23,48
90352,2018/6/30 3:53:37,95,5,4,3,5,21,57
88648,2017/11/30 9:11:09,113,5,5,6,3,9,27
30251,2018/9/3 18:43:38,125,2,8,7,5,18,33
07778,2017/12/26 18:16:15,194,12,13,5,6,10,15
91745,2018/9/28 8:34:09,161,8,12,5,5,23,57
85498,2018/5/15 8:13:40,117,9,8,2,3,13,14
57155,2018/7/18 5:17:23,170,5,18,6,4,7,27
41378,2018/1/6 11:44:36,175,11,14,6,1,0,9
59133,2018/1/15 23:32:13,100,4,12,1,4,4,4
99843,2017/11/27 21:59:04,133,5,11,3,7,12,45
40681,2018/4/18 0:35:58,145,8,8,5,5,5,27
70025,2018/4/17 5:56:52,148,8,10,5,4,7,56
67630,2018/11/9 6:21:14,125,6,11,5,1,18,58
02743,2018/7/12 7:31:02,135,6,13,4,3,15,21
65933,2018/4/24 8:11:36,139,8,13,3,3,10,49
95196,2018/8/8 1:11:39,104,5,12,2,2,2,33
62283,2018/1/4 22:58:19,155,6,16,5,3,16,37
35269,2018/7/1 5:22:31,125,8,12,3,1,9,54
20532,2018/3/31 16:43:56,173,5,16,8,3,23,44
07934,2018/8/11 1:53:29,137,10,8,5,1,15,49
36816,2018/3/26 5:58:02,157,11,13,3,3,20,40
03398,2017/12/13 18:06:34,183,8,10,5,11,3,50
83946,2018/5/1 0:30:37,119,3,9,5,5,17,11
70476,2018/8/4 5:43:43,113,3,10,5,3,4,1
65354,2018/11/16 17:51:40,153,7,14,5,3,4,58
67033,2018/8/16 19:20:00,138,7,13,3,4,1,14
85432,2018/11/3 16:11:25,135,5,8,6,5,14,49
91450,2018/11/15 9:15:05,186,10,12,6,6,17,16
62122,2018/10/20 13:50:11,189,11,13,7,3,13,12
44153,2018/5/23 9:56:31,115,2,10,6,3,21,15
84438,2018/4/4 5:59:17,141,15,9,0,3,16,2
22646,2018/11/11 5:21:12,194,8,21,4,6,8,41
95187,2017/12/26 9:51:22,149,5,18,4,3,10,59
67332,2018/8/2 6:49:42,205,14,15,7,1,19,36
62297,2018/6/12 1:27:09,107,6,12,1,3,9,48
29951,2018/10/8 9:47:50,114,4,10,5,2,19,1
44004,2018/9/22 21:03:30,132,7,10,5,2,4,56
97054,2018/2/20 2:36:58,108,2,7,6,4,22,51
92379,2017/11/26 6:44:23,214,9,19,8,4,11,10
02847,2018/5/18 19:35:14,157,7,11,7,3,14,2
90490,2018/6/1 9:57:30,199,9,12,9,5,19,5
73264,2018/1/27 21:03:19,166,11,14,3,4,9,20
93487,2018/11/7 9:17:14,155,10,7,4,7,21,27
10163,2018/11/3 18:51:54,130,5,15,5,0,19,11
66264,2018/10/31 21:45:43,144,7,15,4,2,22,11
40761,2018/11/17 13:47:10,150,8,19,2,2,12,3
58622,2018/9/9 2:27:57,109,6,11,3,1,5,58
64091,2018/11/16 16:45:48,151,7,14,6,1,14,16
36814,2018/5/22 12:10:54,227,10,21,6,7,7,32
70262,2018/10/29 8:03:01,134,6,15,1,6,13,23
83034,2018/10/28 3:04:10,193,15,10,6,3,2,13
48036,2018/10/10 5:38:50,150,4,15,7,2,19,38
27662,2018/10/11 11:15:50,90,2,13,2,2,2,19
42004,2018/7/4 22:33:57,150,7,16,3,4,23,6
74429,2018/5/24 6:24:17,201,13,13,7,3,2,53
39976,2018/7/30 2:43:01,159,7,14,7,1,3,10
63127,2018/1/29 10:59:58,172,6,9,10,4,10,40
27160,2018/10/10 19:29:47,106,4,8,5,2,16,20
53164,2018/8/9 3:29:52,162,11,17,1,4,3,13
29781,2018/2/13 19:54:53,187,8,14,6,7,23,31
58972,2018/5/14 17:20:31,177,9,14,4,7,20,55
30097,2018/7/2 21:14:52,174,6,20,6,2,3,35
19044,2018/4/9 19:44:12,194,10,14,6,6,3,45
66419,2018/3/14 16:32:24,163,14,8,4,3,21,39
95094,2018/11/10 5:11:48,175,6,14,6,7,21,26
15048,2018/4/23 14:51:38,143,6,12,3,7,20,50
77606,2018/8/6 23:15:33,92,4,8,2,4,5,34
75782,2018/2/18 19:16:13,170,10,13,6,2,19,4
55767,2018/5/9 12:57:13,110,7,6,3,4,2,54
21972,2018/6/3 4:37:46,142,10,8,5,2,15,0
86007,2018/10/10 6:28:33,205,10,16,7,5,6,37
94279,2018/4/1 4:59:40,155,7,14,4,5,17,26
46820,2018/7/4 2:51:17,176,9,11,6,6,12,19
55719,2018/2/19 19:41:54,167,6,17,6,3,11,36
02243,2018/10/18 14:59:07,156,6,13,6,4,8,44
58490,2018/7/7 20:34:39,158,9,14,6,0,7,37
07509,2018/5/5 19:50:13,190,9,19,5,4,0,3
98667,2018/8/3 15:07:36,123,8,7,4,3,3,28
90452,2018/1/8 0:19:54,104,7,9,2,2,23,10
22028,2018/11/3 3:06:24,178,11,15,4,4,17,38
76187,2018/8/31 21:55:07,172,9,13,7,2,22,49
48485,2018/10/30 13:41:41,181,5,18,8,3,16,11
50240,2018/1/5 3:56:47,216,10,16,9,4,3,30
90705,2018/4/30 20:16:10,149,8,18,3,1,22,52
65423,2017/12/12 7:42:19,164,8,12,6,4,5,2
66885,2018/7/19 5:03:55,123,7,13,3,1,21,39
06787,2018/4/19 2:05:21,152,9,6,8,2,0,28
33049,2018/8/5 12:40:17,149,5,15,3,7,17,31
70813,2018/3/30 0:22:32,127,4,16,3,3,16,19
47944,2018/7/6 21:12:01,152,6,14,5,4,9,53
80544,2018/1/20 23:35:42,121,3,6,8,3,0,2
61423,2017/11/26 7:41:03,174,6,15,6,6,14,23
08359,2017/11/30 7:17:37,65,2,10,1,1,14,12
68974,2018/1/11 7:31:58,216,12,16,5,8,16,22
28551,2018/6/9 5:31:34,191,10,15,7,3,11,9
22171,2018/2/18 16:44:03,175,6,18,4,7,14,43
62384,2018/9/4 21:11:01,192,8,19,6,4,5,10
59053,2018/8/22 10:36:44,148,4,19,6,0,5,4
35862,2018/3/21 21:07:48,198,12,10,7,6,15,8
86017,2018/5/31 7:39:08,148,7,13,3,6,19,43
64184,2018/3/2 21:17:50,181,10,15,7,1,11,30
53491,2018/11/15 22:10:57,141,7,11,5,3,13,36
31666,2017/11/21 3:55:22,212,11,7,11,6,11,21
25283,2018/9/8 17:40:07,177,8,12,7,5,10,9
27280,2018/6/29 10:07:17,154,7,8,5,8,6,12
42489,2018/1/15 15:19:39,141,6,11,7,1,4,23
53074,2018/11/11 6:18:33,186,10,13,8,2,23,36
55908,2018/6/4 5:47:48,178,9,10,8,4,17,59
75323,2018/2/27 22:32:55,117,4,11,3,5,16,48
09776,2018/10/27 4:38:23,102,6,6,4,2,0,13
61442,2018/10/7 21:01:21,142,8,10,3,6,3,53
87599,2017/12/19 7:38:04,139,7,10,4,5,1,59
51011,2018/4/26 8:18:13,127,8,8,4,3,22,23
61233,2018/6/5 17:16:13,119,4,8,6,3,7,3
09888,2018/4/27 4:54:45,124,2,13,5,4,15,11
94098,2018/4/13 20:29:55,193,12,14,5,5,13,27
47139,2018/4/25 3:57:03,123,8,11,2,3,21,14
62761,2018/8/15 22:18:05,104,6,10,1,4,10,6
07018,2018/8/14 0:26:00,139,11,5,6,1,3,46
28717,2018/6/9 9:55:05,130,7,11,3,4,6,58
97133,2018/4/7 4:18:21,194,7,15,9,4,16,30
31576,2018/6/19 21:35:16,147,6,14,5,3,10,51
62799,2018/6/14 4:12:40,177,8,11,5,9,8,37
81773,2018/11/7 12:42:18,116,7,5,3,6,15,7
69988,2017/11/28 2:08:39,178,7,13,8,4,6,38
83449,2018/10/20 18:06:22,141,6,14,3,5,10,17
83294,2018/6/1 19:37:10,177,7,11,7,7,3,30
55035,2018/1/23 17:38:58,149,6,15,6,1,18,10
68930,2018/8/22 11:17:06,156,4,17,3,8,17,35
06195,2018/11/4 19:44:45,215,11,13,9,5,19,17
04366,2018/8/10 22:50:54,141,11,9,3,3,19,56
79545,2018/6/20 11:07:53,174,10,10,8,2,15,26
01463,2017/11/21 9:16:41,144,7,14,2,6,17,34
62500,2018/5/3 17:09:03,141,11,13,1,3,23,36
39916,2018/9/14 0:54:40,138,12,10,2,2,10,47
92659,2018/1/15 5:00:43,218,12,14,10,2,9,52
17516,2018/10/23 3:26:17,264,16,15,11,4,19,44
05256,2018/1/7 13:10:43,194,9,8,11,4,21,58
99910,2018/11/17 0:39:05,173,10,8,7,5,14,56
47397,2018/9/20 13:08:41,134,10,8,4,2,0,17
68234,2018/1/30 18:41:58,146,9,10,4,4,1,27
20894,2018/3/10 22:17:23,126,7,12,2,4,4,11
12325,2018/4/4 12:07:01,156,8,16,3,4,1,50
03993,2018/3/23 22:48:26,65,4,7,1,1,2,7
95276,2017/11/24 4:18:04,175,10,8,6,7,2,6
91700,2018/10/2 6:59:24,134,7,8,5,4,8,22
77030,2018/11/13 13:48:02,187,12,11,7,3,16,59
05456,2018/7/3 16:12:05,129,4,13,6,1,14,4
14129,2018/1/16 2:41:14,139,9,14,3,1,14,30
92439,2018/11/20 17:31:16,187,8,12,7,7,1,38
60477,2018/11/18 14:27:15,144,7,15,4,2,1,57
03057,2017/12/29 1:43:41,170,10,19,3,2,8,49
48792,2018/7/6 15:25:07,137,5,13,5,3,6,3
91127,2018/7/29 11:54:02,164,8,12,6,4,7,15
71323,2018/5/19 14:59:22,181,5,16,9,3,7,2
17558,2018/5/15 20:21:31,170,7,11,8,4,4,38
96948,2018/6/21 14:03:20,136,6,8,6,4,11,29
60056,2018/1/1 1:17:02,190,8,18,5,6,6,44
45884,2018/1/8 6:16:40,126,3,12,5,4,2,23
41383,2018/6/18 0:26:53,133,6,10,4,5,8,6
87225,2018/2/8 19:45:53,107,5,11,1,5,2,31
54791,2018/1/17 7:51:22,99,5,14,1,1,16,28
37199,2018/4/14 13:01:56,132,5,15,4,2,4,7
03046,2018/6/18 18:49:29,165,6,14,6,5,3,49
40596,2018/4/28 4:04:25,143,12,8,3,3,10,2
85375,2018/9/2 19:18:04,133,3,10,5,7,9,17
53550,2018/1/30 1:01:27,276,17,14,11,6,4,55
91283,2018/7/15 10:33:15,186,14,11,6,2,9,53
21578,2018/10/25 17:43:19,124,3,12,6,2,14,38
64810,2018/8/14 21:09:11,249,15,10,13,3,20,58
99172,2018/6/24 0:14:11,110,6,10,3,2,15,2
13891,2018/7/24 11:43:19,143,4,12,7,3,3,51
27901,2017/11/29 11:38:01,151,9,11,6,1,23,27
32492,2018/6/5 21:42:13,129,6,10,6,1,12,34
80949,2018/7/6 2:11:58,188,7,24,5,2,7,14
78418,2017/11/25 1:00:42,132,7,7,4,6,15,55
29074,2018/6/19 18:35:16,152,6,14,5,4,18,23
49678,2018/5/6 14:47:38,197,11,14,5,7,18,46
46775,2018/9/6 10:40:01,123,3,12,4,5,18,34
36714,2018/6/27 13:00:31,173,9,11,5,7,21,4
31401,2017/12/8 11:46:10,280,17,17,10,6,14,31
92225,2018/3/18 18:37:29,131,10,10,2,3,22,1
03533,2018/7/22 9:22:50,186,7,13,9,4,4,15
61764,2018/7/24 14:01:29,162,7,10,5,8,14,29
71764,2018/7/13 2:40:10,246,20,14,5,6,1,7
74703,2018/5/12 21:29:52,130,7,11,3,4,10,49
18461,2018/5/1 15:13:18,113,4,11,5,1,22,30
96451,2017/12/18 1:57:22,222,16,12,6,6,8,5
23786,2018/9/10 22:56:59,143,9,11,5,1,20,3
13647,2018/7/9 15:14:10,180,8,12,8,4,23,3
75400,2018/7/26 9:25:27,131,6,8,6,3,17,23
49124,2018/1/5 8:08:15,131,6,8,6,3,10,55
28412,2018/7/30 11:43:14,182,9,17,5,4,5,29
76449,2018/1/3 19:15:42,194,6,12,10,6,17,39
75989,2018/11/19 8:52:33,130,4,11,4,6,0,46
41461,2018/3/21 17:24:15,164,7,11,6,6,11,42
08217,2018/2/11 15:14:03,187,8,14,6,7,8,5
52915,2018/2/23 20:25:32,125,9,12,1,3,6,11
99046,2018/11/7 14:52:24,161,9,13,5,3,18,36
04781,2018/2/23 11:28:53,183,7,17,6,5,12,2
99290,2018/3/4 4:44:21,142,10,12,3,2,15,16
87772,2018/5/15 14:23:59,131,7,10,3,5,18,9
19081,2018/10/3 0:23:51,177,10,9,7,5,4,26
21104,2018/8/9 4:46:48,104,6,11,3,0,1,57
99856,2018/9/25 9:19:44,169,10,18,4,1,17,14
34914,2017/11/22 23:02:18,112,6,6,4,4,3,20
05755,2018/11/16 6:38:23,140,10,11,2,4,17,19
11536,2018/8/21 0:41:38,175,12,10,6,3,14,49
96818,2018/2/8 14:27:36,154,5,12,7,4,0,0
19757,2018/8/3 9:37:25,218,12,13,8,6,23,47
17583,2018/7/17 18:30:55,131,6,10,5,3,13,34
85573,2017/12/16 23:59:09,169,9,10,5,7,1,31
79904,2018/7/23 10:05:38,168,10,14,4,4,7,2
26888,2018/1/17 23:34:49,191,13,14,4,5,21,23
28707,2018/10/4 21:52:49,165,11,15,3,3,6,39
46237,2018/4/25 13:52:16,112,5,6,6,2,3,24
35213,2018/9/14 9:22:44,144,6,14,4,4,4,9
05114,2018/11/19 17:00:21,202,9,10,11,4,4,5
92692,2018/2/11 18:27:03,149,5,13,4,7,22,58
56996,2018/11/20 10:17:27,165,9,18,3,3,0,8
22061,2018/2/3 13:58:51,137,10,7,3,5,9,12
57995,2018/10/19 14:45:12,126,6,12,4,2,12,58
63478,2017/12/20 7:48:48,108,4,12,2,4,4,29
33631,2018/11/10 18:57:33,77,4,6,3,1,15,50
17335,2018/3/20 4:20:11,154,8,9,5,6,0,59
89097,2018/4/5 19:05:38,210,13,16,6,4,8,52
23387,2018/7/23 16:34:16,184,8,13,8,4,0,24
90118,2018/8/8 7:52:17,104,5,12,2,2,14,16
14001,2018/10/26 0:56:10,142,6,12,6,2,15,54
93495,2018/1/14 10:57:17,133,6,11,6,1,14,59
20016,2018/1/3 8:27:13,145,7,12,5,3,1,32
67723,2018/8/16 7:19:27,170,8,12,8,2,4,40
10236,2018/4/30 1:44:42,203,7,14,10,5,22,35
00759,2018/1/4 19:15:38,173,8,15,5,5,11,6
51460,2018/5/5 17:48:25,203,11,18,5,5,14,33
09889,2018/11/14 23:21:54,131,7,11,5,1,15,11
89972,2018/3/18 6:52:15,124,11,12,0,2,4,46
75460,2018/4/28 9:58:54,139,6,10,6,3,18,5
01572,2018/1/27 19:37:53,119,8,12,1,3,3,28
79390,2018/10/27 11:09:25,217,15,11,6,7,23,57
36781,2017/12/9 2:28:47,165,9,12,6,3,3,13
01939,2018/3/19 14:03:58,204,13,19,5,2,17,16
54804,2018/7/16 10:08:38,198,7,19,5,8,0,33
04658,2018/5/5 6:42:42,150,10,8,6,2,10,45
89023,2018/6/2 13:38:31,129,5,13,4,3,12,58
38801,2018/7/21 7:50:06,141,6,14,3,5,23,30
85876,2018/1/9 4:54:40,163,10,10,6,3,0,32
99257,2018/5/15 16:07:22,198,6,15,9,6,7,4
63570,2017/12/5 6:40:24,90,5,7,4,0,11,10
42671,2018/9/12 11:11:32,144,9,12,4,2,5,59
92936,2018/3/1 18:02:41,160,6,14,6,4,2,7
21074,2018/4/27 13:22:36,171,11,7,4,9,17,31
39147,2018/8/17 22:12:27,131,7,8,4,5,22,55
01540,2018/7/5 9:19:10,120,9,8,3,2,11,40
62868,2017/11/26 2:40:44,192,7,20,5,6,21,5
16449,2018/8/20 23:06:14,136,8,11,3,4,9,40
94828,2018/5/3 7:59:46,151,7,11,5,5,0,42
27027,2018/3/27 10:24:11,129,4,21,2,1,18,7
53729,2018/8/9 8:20:27,157,5,16,6,3,18,32
85842,2018/10/9 17:42:17,127,4,18,2,3,18,7
51497,2018/10/27 13:33:47,168,9,16,5,2,23,28
37292,2018/9/25 8:41:41,139,10,12,2,3,19,30
81584,2018/5/9 8:09:42,147,7,12,4,5,19,19
14599,2018/5/16 16:51:37,117,8,7,2,5,0,1
42249,2018/9/18 16:41:24,164,8,16,4,4,21,46
03016,2018/4/15 15:44:16,176,12,13,4,4,23,17
80616,2018/8/30 21:49:47,192,10,12,8,4,6,43
94122,2018/1/17 8:38:41,183,8,14,8,3,9,31
76630,2018/9/13 12:33:57,133,9,10,3,3,23,28
94075,2018/10/6 0:54:23,195,10,18,6,3,14,52
53498,2018/6/1 13:25:50,138,6,10,4,6,13,44
45932,2018/5/12 18:18:49,230,17,13,7,4,14,30
76547,2017/11/28 3:07:02,196,6,14,8,8,0,51
01115,2018/5/4 18:22:42,191,11,13,6,5,22,5
67981,2018/10/14 9:06:36,136,7,13,4,2,20,15
10018,2018/6/20 6:59:14,135,7,14,4,1,6,12
27750,2018/9/19 17:07:06,211,8,14,9,7,11,46
54059,2018/1/30 6:58:55,213,11,10,9,7,20,34
99971,2018/6/1 17:09:00,159,10,19,1,3,15,38
23072,2018/8/31 20:59:52,162,9,14,4,4,19,8
76322,2017/12/21 4:21:17,196,10,11,9,4,4,27
53423,2018/1/27 13:30:27,180,6,17,7,4,12,49
89070,2018/10/27 0:02:54,213,10,18,7,5,22,30
35529,2018/8/19 3:55:53,86,4,7,3,2,18,1
34519,2017/12/1 18:31:29,129,7,12,3,3,7,11
81514,2017/12/17 10:27:32,187,10,14,7,3,8,59
44978,2018/7/11 21:46:10,108,7,10,2,2,1,58
31395,2018/1/13 0:47:55,144,5,15,3,6,14,19
73164,2017/12/25 23:23:51,121,3,14,4,3,0,20
81945,2018/2/24 22:40:43,188,11,14,7,2,7,53
65813,2018/4/9 4:25:43,161,10,9,5,5,22,16
33110,2018/8/31 5:17:30,145,7,12,5,3,12,27
62449,2017/12/21 18:38:57,138,9,10,3,4,9,7
63116,2018/6/18 5:34:12,135,10,9,3,3,4,24
21091,2018/5/29 13:12:47,187,10,13,5,7,12,28
56060,2018/8/11 16:17:06,161,10,13,3,5,11,30
60505,2018/7/28 4:39:59,121,7,10,3,3,15,20
43681,2018/11/3 2:13:58,139,11,15,1,1,2,26
42915,2018/1/10 19:24:29,170,6,10,8,6,10,18
05751,2017/12/11 13:34:42,131,6,12,4,3,8,35
60241,2017/12/15 10:07:37,170,6,14,6,6,18,44
48727,2018/4/30 5:23:00,112,7,6,2,6,9,13
63189,2018/8/7 20:10:28,151,9,10,4,5,21,41
82959,2018/9/13 1:44:44,128,5,10,6,2,9,10
45439,2018/3/18 8:06:52,140,12,7,5,0,0,0
17029,2018/5/21 5:55:09,122,3,11,5,4,3,47
94422,2018/9/18 12:54:48,167,11,11,4,5,1,29
85926,2018/1/16 22:27:03,96,4,7,3,4,13,22
93587,2018/1/31 9:20:31,96,3,12,0,6,12,52
73288,2018/9/7 18:29:46,129,8,6,4,5,13,47
43003,2018/5/13 15:42:13,160,6,10,8,4,18,41
42879,2018/11/12 10:30:38,136,10,4,5,4,3,13
28176,2018/10/31 16:22:07,125,4,9,5,5,2,24
35427,2018/6/3 3:46:03,126,8,9,4,2,22,46
96993,2018/6/24 8:14:03,187,12,16,2,7,5,59
91614,2018/10/20 13:54:00,135,6,11,5,3,1,42
54432,2018/8/1 5:24:11,154,7,11,6,4,20,21
52841,2018/1/1 5:28:23,144,7,13,5,2,8,27
21252,2018/6/29 19:55:41,140,5,10,5,6,19,14
44996,2018/2/3 17:52:23,105,5,8,1,7,6,4
85878,2018/2/25 6:22:45,112,7,5,5,2,11,53
14040,2018/11/14 6:26:37,133,6,12,3,5,7,29
75098,2018/5/22 17:01:35,143,8,12,4,3,9,50
57948,2018/7/4 23:32:16,111,6,7,4,3,9,17
07453,2018/4/23 6:48:30,187,9,15,6,5,14,58
79777,2017/12/23 19:07:37,187,12,13,6,3,21,29
66804,2018/5/6 5:57:40,172,7,12,9,2,12,50
66994,2018/3/7 18:48:26,186,7,14,6,8,9,1
15981,2018/6/8 10:36:29,162,5,11,6,8,4,33
15805,2018/8/28 14:18:04,137,14,10,1,1,23,56
36000,2018/10/8 16:01:22,134,10,8,4,2,8,33
53813,2018/1/21 1:13:59,156,5,17,6,2,22,18
52352,2018/1/14 7:43:35,158,6,16,6,2,20,19
28358,2017/12/10 16:27:57,185,9,11,9,3,11,59
96851,2018/4/8 3:12:11,140,5,14,3,6,23,4
47093,2018/7/7 19:31:58,110,6,12,2,2,22,20
39259,2018/7/2 23:35:25,137,4,12,5,5,3,20
82955,2018/10/12 0:32:46,149,4,17,4,5,20,13
65410,2018/6/4 11:01:30,135,7,11,3,5,17,13
35847,2018/3/6 2:41:42,168,9,11,5,6,9,22
21228,2018/1/31 23:10:54,151,6,9,8,3,0,1
05842,2018/3/23 0:16:39,133,5,7,5,7,4,25
19668,2018/9/17 13:04:32,174,11,16,3,4,14,29
89777,2018/6/22 10:02:19,106,2,6,5,6,7,45
98576,2018/6/23 18:14:25,155,10,14,3,3,4,43
61740,2018/3/14 0:10:07,146,9,10,4,4,22,0
64527,2018/5/9 13:43:46,116,4,14,2,4,5,11
27504,2018/4/18 15:54:13,138,9,11,5,0,12,35
61044,2018/6/5 17:20:47,166,11,6,7,4,8,24
92469,2018/8/30 10:42:51,161,6,15,5,5,13,18
70365,2018/8/30 21:53:43,167,3,14,11,1,16,11
34906,2018/7/23 9:01:07,145,8,16,1,5,1,12
98884,2018/9/17 10:46:34,152,10,10,4,4,19,28
65068,2018/8/6 13:50:31,186,14,11,6,2,23,5
00771,2018/1/15 11:35:53,161,9,9,7,3,7,9
97033,2018/3/23 13:15:36,163,11,4,7,5,21,23
01806,2018/5/7 3:14:55,172,17,2,4,6,21,33
91534,2018/6/13 4:14:41,156,10,11,4,4,7,29
86791,2017/12/11 10:24:19,200,5,22,9,2,11,42
73203,2018/4/16 4:00:21,156,8,10,6,4,18,20
99966,2018/6/2 3:49:14,185,8,14,7,5,20,32
05472,2018/3/28 13:05:52,172,10,11,6,4,9,56
26206,2018/4/17 23:21:16,162,7,13,6,4,2,27
38859,2018/1/27 6:17:22,204,8,22,6,4,11,15
28370,2018/6/7 2:52:02,144,9,12,4,2,12,12
48058,2018/3/14 2:58:39,132,4,12,5,4,16,24
31464,2018/9/26 19:08:26,167,9,12,5,5,0,18
25292,2018/8/29 1:46:47,124,7,6,6,2,3,33
98976,2018/10/13 22:42:55,145,12,11,3,1,13,50
34235,2018/4/13 3:24:32,176,7,12,7,6,22,36
95082,2018/2/2 16:11:59,163,8,10,5,7,21,16
84644,2018/6/27 8:56:27,176,13,12,5,2,21,3
24461,2018/9/6 9:37:33,161,5,12,6,7,21,39
57193,2018/7/23 8:33:53,145,5,10,5,7,21,7
45195,2018/11/14 18:05:58,96,6,2,4,4,20,9
10229,2018/10/11 3:09:06,159,6,10,6,7,18,23
55865,2018/1/21 15:40:17,100,7,5,1,6,5,36
61887,2018/7/11 0:32:16,177,13,13,4,3,3,28
91638,2018/4/28 14:12:35,168,8,15,5,4,14,30
39010,2018/6/21 0:12:46,150,6,12,7,2,14,50
98658,2018/7/12 4:02:03,136,6,16,2,4,21,54
49077,2018/10/13 6:08:11,172,13,11,5,2,8,39
43954,2018/5/27 11:30:58,145,12,9,4,1,12,39
76421,2018/9/23 9:34:45,149,7,15,4,3,14,30
51843,2018/4/7 9:35:53,134,9,9,3,4,4,14
29166,2018/10/17 20:35:47,175,5,10,10,5,5,46
41936,2017/11/30 16:42:46,102,4,8,2,6,7,17
37823,2018/1/20 1:13:40,90,4,10,2,2,13,56
01337,2018/9/10 14:39:49,120,7,11,3,2,17,1
88463,2018/9/6 12:50:47,120,2,12,5,4,0,37
56587,2018/10/14 22:02:25,177,14,13,2,5,11,23
49975,2018/7/25 13:31:24,189,10,13,9,1,23,35
09396,2018/8/31 18:28:05,134,6,11,3,6,8,2
37797,2018/2/14 8:24:05,152,10,13,5,0,5,7
12486,2018/9/10 17:20:51,124,6,11,3,4,19,56
06217,2018/1/1 9:29:57,171,12,11,5,3,16,43
57785,2018/11/10 21:05:05,153,10,7,5,5,19,28
56237,2018/5/28 21:28:57,188,7,16,9,2,7,16
54735,2018/2/4 9:02:43,208,11,16,6,6,0,3
82986,2018/6/16 0:09:21,110,3,8,5,4,16,35
69638,2018/11/8 23:44:11,137,9,9,4,3,23,52
50688,2018/2/4 6:15:20,151,10,11,4,3,17,27
60999,2018/10/25 16:50:15,83,4,7,2,3,6,4
09513,2018/1/3 3:15:46,173,9,14,6,3,10,8
77124,2018/3/16 13:07:40,136,7,5,8,2,12,31
51450,2018/2/7 15:39:53,137,5,13,5,3,13,45
07041,2018/7/17 19:18:18,140,7,13,2,6,13,40
16287,2018/6/11 21:32:51,126,6,8,6,2,8,56
21980,2018/10/16 19:18:14,136,7,11,5,2,12,29
80557,2018/1/10 22:08:34,140,11,10,3,2,16,22
35981,2018/8/4 1:00:43,109,4,9,3,5,16,25
23971,2018/10/7 11:49:03,140,6,13,4,4,4,23
88864,2018/7/25 5:22:01,151,8,14,4,3,4,1
15800,2018/10/6 13:13:45,102,3,12,2,4,21,55
20462,2017/12/11 21:06:58,190,9,4,10,8,2,57
04316,2018/8/12 1:56:34,201,9,17,8,3,2,37
32855,2018/4/20 20:46:30,160,7,19,4,2,15,51
92750,2018/10/23 23:43:17,91,4,5,4,3,1,4
12574,2018/1/19 22:09:24,143,3,19,3,5,15,19
15512,2018/1/8 12:38:50,125,7,15,1,3,11,32
17772,2017/11/25 13:24:59,157,6,14,5,5,13,27
31225,2018/7/30 20:48:05,143,5,8,7,5,14,17
59109,2018/3/6 10:36:49,137,7,6,7,3,8,53
73299,2018/8/22 6:35:10,139,6,11,3,7,10,49
04874,2018/4/11 0:49:40,131,8,12,0,7,3,58
35210,2018/1/18 0:55:04,172,10,11,6,4,19,11
10011,2018/5/24 5:36:59,189,11,13,7,3,22,11
58722,2018/2/23 8:10:28,272,17,18,11,2,1,58
